iter	Passed	Remaining
820	2712	591
821	2713	587
822	2715	584
823	2717	580
824	2718	576
825	2720	572
826	2721	569
827	2724	565
828	2726	562
829	2727	558
830	2729	555
831	2734	552
832	2736	548
833	2737	544
834	2739	541
835	2741	537
836	2743	534
837	2745	530
838	2747	527
839	2749	523
840	2751	520
841	2753	516
842	2756	513
843	2758	509
844	2760	506
845	2762	502
846	2764	499
847	2766	495
848	2768	492
849	2771	489
850	2772	485
851	2774	481
852	2775	478
853	2777	474
854	2779	471
855	2780	467
856	2782	464
857	2784	460
858	2785	457
859	2786	453
860	2788	450
861	2789	446
862	2791	443
863	2793	439
864	2795	436
865	2797	432
866	2799	429
867	2801	426
868	2803	422
869	2805	419
870	2806	415
871	2808	412
872	2809	408
873	2811	405
874	2812	401
875	2814	398
876	2816	394
877	2818	391
878	2819	388
879	2822	384
880	2823	381
881	2827	378
882	2828	374
883	2830	371
884	2832	368
885	2833	364
886	2835	361
887	2836	357
888	2838	354
889	2840	351
890	2841	347
891	2843	344
892	2844	340
893	2846	337
894	2847	334
895	2849	330
896	2851	327
897	2852	324
898	2854	320
899	2856	317
900	2858	314
901	2859	310
902	2860	307
903	2862	303
904	2864	300
905	2866	297
906	2868	294
907	2869	290
908	2871	287
909	2873	284
910	2874	280
911	2876	277
912	2878	274
913	2879	270
914	2881	267
915	2883	264
916	2885	261
917	2887	257
918	2890	254
919	2892	251
920	2893	248
921	2895	244
922	2897	241
923	2899	238
924	2901	235
925	2903	232
926	2905	228
927	2906	225
928	2909	222
929	2911	219
930	2913	215
931	2915	212
932	2918	209
933	2921	206
934	2923	203
935	2924	199
936	2926	196
937	2928	193
938	2929	190
939	2931	187
940	2932	183
941	2934	180
942	2936	177
943	2938	174
944	2940	171
945	2942	167
946	2944	164
947	2945	161
948	2947	158
949	2948	155
950	2950	152
951	2951	148
952	2953	145
953	2954	142
954	2956	139
955	2959	136
956	2960	133
957	2962	129
958	2964	126
959	2965	123
960	2967	120
961	2968	117
962	2970	114
963	2972	110
964	2974	107
965	2976	104
966	2978	101
967	2980	98
968	2982	95
969	2984	92
970	2985	89
971	2987	86
972	2989	82
973	2990	79
974	2992	76
975	2993	73
976	2995	70
977	3002	67
978	3004	64
979	3005	61
980	3007	58
981	3009	55
982	3011	52
983	3013	49
984	3015	45
985	3017	42
986	3018	39
987	3020	36
988	3022	33
989	3024	30
990	3026	27
991	3027	24
992	3029	21
993	3031	18
994	3033	15
995	3034	12
996	3036	9
997	3038	6
998	3039	3
999	3040	0
4698	47
990	4699	42
991	4701	37
992	4702	33
993	4704	28
994	4705	23
995	4707	18
996	4708	14
997	4710	9
998	4711	4
999	4713	0
